,Q,A
7,只有遵守学术规范，才能在学术共同体中得到认可，如果违反了学术规范，就会,C
8,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“合格”的是,C
9,科研规范是基于科研道德和科学共同体共识的， 具有稳定性、连续性的规制和安排，因而具有文化的意义，要求研究者自觉遵守和共同维护。下列属于当代科技工作者应该坚持的规范是,B
10,按照2009 年9 月中国科协七届十一次常委会议审议通过的《科学道德规范（试行）》第九条规定，选拔和举荐人才的主要标准不包含下面哪项。,D
11,韩国首尔大学黄禹锡因违反科学道德，犯有诈骗、科研剽窃等行为，被拉下“国家最高科学家”神坛，最终以被判处有期徒刑18 个月、缓期两年执行的结局收场。这一事件极大地伤害了韩国公众对科学家的信任，也对韩国科技界的国际形象带来负面影响。该案例突出反映了当前科学道德与学风问题具有,B
12,根据《学位论文作假行为处理办法》规定，为他人代写学位论文、出售学位论文或者组织学位论文买卖、代写的人员，属于在读学生的，其所在学校或者学位授予单位可以给予（ ）处分。,D
13,千百年来科技工作者探究出来的基本方法，是具有普适性和实用性的，是科学发现和技术创新的“器”。这说明科研工作者在科学研究上应具有,D
14,学界公认的科研规范中，规定在参与各种推荐、评审、鉴定、答辩和评奖等活动中，要坚持客观公正的评价标准，坚持按章办事，不徇私情，自觉抵制不良社会风气的影响和干扰。这条原则属于当代科研工作者应该坚持的,D
15,与他人合作或者接受他人委托完成的发明创造，申请专利的权利根据合同的约定确定，该合同,C
16,"在合作研究中，故意隐瞒应共享的信息,不提供相关数据和资源等。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须遵守科研规范中的",B
17,"同行、同事、同学为增加论文篇数以达到绩效考核标准，或获得职称晋升，或获得到其他回报，而彼此之间建立互惠协议，相互“搭车”,在对方的论著、学术论文中相互署名。这种行为是被严格禁止的，该署名属于",C
18,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学，制止科学道德与学风蜕变趋势的发展，努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的保障的是,C
19,在科研结果及运用中常见的问题中，下列属于科研道德范畴的是,D
20,内容摘要也称提要，是学术成果的内容不加注释和评论的简短陈述。下列属于摘要囊括的内容的是,D
21,下列属于科研伦理决策过程的是,D
22,以下关于“一稿多投”的说法中，错误的是,B
23,凡转引他人成果，应注明转引,D
24,在课题申请中，不应超负荷申请，有的科技工作者同时参加了多个课题，应保证每年所有课题的时间加总之和不能超过()个月,D
25,以下哪项不符合引文规范,B
26,教育部《学位论文作假行为处理办法》（2012）规定，在读学生为他人代写学位论文、出售学位论文或者组织学位论文买卖，其所在学校或者学位授予单位对其最高处分是,D
27,杜撰一般指按照某种科学假说和理论演绎出的期望值伪造虚假的观察与实验结果，从而支持理论的正确性或者确认实验结果的正确性。下列属于学术杜撰行为的是,B
28,下列选项中不属于“抄袭”的是,D
29,下列不属于一稿多投现象的是,C
30,诚实守信是保障学术成果可靠性的前提，从事学术研究的人不应有任何不诚实的行为。下列哪个行为违背了诚实守信原则。,D
31,"关于科学数据保存期限的规定,一般科学实验记录应当至少保存()年",C
32,关于科学数据保存期限的规定，科学实验记录中一些关键的记录需要保存( )年,D
33,下列关于“署名”的说法，错误的是,D
34,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，以下哪项不属于研究生学位论文的检测结果：,B
35,以下说法中属于“剽窃”的是,C
36,在向编辑部说明的情况下，以下说法中不属于“一稿多投”的是,B
37,根据《著作权法》第27 条，以下属于“适当引用”的是,D
38,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中,C
39,科研道德考察的是科研人员自身的道德修养、品行和诚实及杜撰、抄袭、剽窃及学术不当行为产生的根源、表现、危害及对策。下列属于违反科研道德的是,C
40,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“不合格”的是,D
0,学界公认的科研规范中，规定在参与各种推荐、评审、鉴定、答辩和评奖等活动中，要坚持客观公正的评价标准，坚持按章办事，不徇私情，自觉抵制不良社会风气的影响和干扰。这条原则属于当代科研工作者应该坚持的,D
1,高尚的学风道德会对科学文化的发育起到重要的作用。我国老一代科学家淡泊名利、勇攀高峰、无私奉献，以优良的科学道德和学术素养为科技工作者乃至全社会树立了光辉典范。但是目前，我国科学文化发育严重滞后于科学技术发展的内在要求，下列不属于这种严重滞后的表现的是,C
2,以下哪项不属于学术共同体的特点。,D
3,凡转引他人成果，应注明转引,D
4,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的关键的是,B
5,加强学术道德和学风建设，遏制学术不端行为，必须,D
6,学术乃天下之公器，只有通过学术批评才能去伪存真，明辨是非，发现真理，杜绝腐败，推动学术进步。不属于学术批评应遵循的原则是,C
7,千百年来科技工作者探究出来的基本方法，是具有普适性和实用性的，是科学发现和技术创新的“器”。这说明科研工作者在科学研究上应具有,D
8,学术规范是在学术共同体内部所构建的一种,B
9,科学道德和学风问题的本质是,C
10,科研规范是基于科研道德和科学共同体共识的， 具有稳定性、连续性的规制和安排，因而具有文化的意义，要求研究者自觉遵守和共同维护。下列属于当代科技工作者应该坚持的规范是,B
11,科研规范主要是指从事科研活动的行为，其主体是,D
12,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面，必须实事求是。这条原则属于当代科研工作者应该坚持的,B
13,引文原则上应以使用 () 为原则。,B
14,根据《关于科技工作者行为准则的若干意见》，科技工作者和有关科技管理机构在科研立项、科技成果的评审、鉴定、验收和奖励等活动中，相关的评价结论严禁滥用以下哪种用语,D
